candidate_id,rank,score,reasoning
CAND_0086022,11,0.7938,"Rank 11: Senior Applied Scientist at Sarvam AI (5.3 yrs exp, AI/ML). matches on embeddings/retrieval, vector DB / hybrid search, ranking evaluation (NDCG/MRR/MAP). based in Kolkata, West Bengal, open to relocation. recruiter response rate 0.55, notice period 0d, last active 73d ago. Semantic JD match 0.76."
CAND_0094759,12,0.77,"Rank 12: Lead AI Engineer at Meta (8.6 yrs exp, Internet). matches on embeddings/retrieval, vector DB / hybrid search, ranking evaluation (NDCG/MRR/MAP). based in Mumbai, Maharashtra, open to relocation. recruiter response rate 0.11, notice period 30d, last active 170d ago. Semantic JD match 0.69."
CAND_0007411,13,0.7691,"Rank 13: Senior Machine Learning Engineer at Amazon (8.0 yrs exp, Internet). matches on embeddings/retrieval, vector DB / hybrid search, ranking evaluation (NDCG/MRR/MAP). based in Kochi, Kerala, open to relocation. recruiter response rate 0.12, notice period 15d, last active 207d ago. Semantic JD match 0.74."
CAND_0080766,14,0.7589,"Rank 14: Staff Machine Learning Engineer at Salesforce (8.8 yrs exp, Software). matches on embeddings/retrieval, ranking evaluation (NDCG/MRR/MAP). based in Coimbatore, Tamil Nadu, open to relocation. recruiter response rate 0.66, notice period 0d, last active 79d ago. Semantic JD match 0.74."
CAND_0088025,15,0.7433,"Rank 15: Staff Machine Learning Engineer at Yellow.ai (8.6 yrs exp, AI/ML). matches on embeddings/retrieval, vector DB / hybrid search, ranking evaluation (NDCG/MRR/MAP). based in Jaipur, Rajasthan. recruiter response rate 0.83, notice period 90d, last active 44d ago. concerns: long notice period (90d). Semantic JD match 0.77."
CAND_0068351,16,0.7198,"Rank 16: Lead AI Engineer at Sarvam AI (6.4 yrs exp, AI/ML). matches on ranking evaluation (NDCG/MRR/MAP). based in Delhi, Delhi. recruiter response rate 0.86, notice period 0d, last active 77d ago. Semantic JD match 0.69."
CAND_0006567,17,0.7141,"Rank 17: Senior AI Engineer at Meta (7.9 yrs exp, Internet). matches on ranking evaluation (NDCG/MRR/MAP). based in Noida, Uttar Pradesh, open to relocation. recruiter response rate 0.79, notice period 60d, last active 55d ago. Semantic JD match 0.67."
CAND_0061257,18,0.7109,"Rank 18: Staff Machine Learning Engineer at LinkedIn (8.0 yrs exp, Internet). matches on ranking evaluation (NDCG/MRR/MAP). based in Noida, Uttar Pradesh. recruiter response rate 0.87, notice period 30d, last active 72d ago. Semantic JD match 0.62."
CAND_0041669,19,0.6987,"Rank 19: Recommendation Systems Engineer at CRED (8.0 yrs exp, Fintech). matches on embeddings/retrieval, vector DB / hybrid search, ranking evaluation (NDCG/MRR/MAP). based in Noida, Uttar Pradesh. recruiter response rate 0.77, notice period 60d, last active 82d ago. Semantic JD match 0.52."
CAND_0093547,20,0.6882,"Rank 20: Senior Machine Learning Engineer at PhonePe (2.9 yrs exp, Fintech). matches on embeddings/retrieval, vector DB / hybrid search, ranking evaluation (NDCG/MRR/MAP). based in Coimbatore, Tamil Nadu. recruiter response rate 0.75, notice period 60d, last active 78d ago. Semantic JD match 0.73."
CAND_0005538,21,0.6797,"Rank 21: Senior AI Engineer at Adobe (5.9 yrs exp, Software). matches on embeddings/retrieval, ranking evaluation (NDCG/MRR/MAP). based in Kolkata, West Bengal. recruiter response rate 0.81, notice period 90d, last active 41d ago. concerns: long notice period (90d). Semantic JD match 0.70."
CAND_0052328,22,0.6744,"Rank 22: Recommendation Systems Engineer at Amazon (6.5 yrs exp, Internet). matches on embeddings/retrieval, vector DB / hybrid search, ranking evaluation (NDCG/MRR/MAP). based in Pune, Maharashtra. recruiter response rate 0.79, notice period 30d, last active 88d ago. Semantic JD match 0.43."
CAND_0042506,23,0.6698,"Rank 23: Search Engineer at Verloop.io (4.2 yrs exp, Conversational AI). matches on embeddings/retrieval, vector DB / hybrid search, ranking evaluation (NDCG/MRR/MAP). based in Mumbai, Maharashtra. recruiter response rate 0.48, notice period 15d, last active 36d ago. Semantic JD match 0.51."
CAND_0068811,24,0.665,"Rank 24: Applied ML Engineer at Freshworks (8.0 yrs exp, SaaS). matches on embeddings/retrieval, vector DB / hybrid search, ranking evaluation (NDCG/MRR/MAP). based in Pune, Maharashtra, open to relocation. recruiter response rate 0.42, notice period 30d, last active 37d ago. Semantic JD match 0.43."
CAND_0064270,25,0.6436,"Rank 25: Applied ML Engineer at Verloop.io (4.2 yrs exp, Conversational AI). matches on embeddings/retrieval, vector DB / hybrid search, ranking evaluation (NDCG/MRR/MAP). based in Pune, Maharashtra, open to relocation. recruiter response rate 0.82, notice period 45d, last active 99d ago. Semantic JD match 0.48."
CAND_0054123,26,0.6415,"Rank 26: Applied ML Engineer at Meta (4.7 yrs exp, Internet). matches on embeddings/retrieval, vector DB / hybrid search, ranking evaluation (NDCG/MRR/MAP). based in Gurgaon, Haryana. recruiter response rate 0.87, notice period 60d, last active 50d ago. Semantic JD match 0.47."
CAND_0075249,27,0.641,"Rank 27: Applied ML Engineer at Zomato (6.2 yrs exp, Food Delivery). matches on embeddings/retrieval, vector DB / hybrid search, ranking evaluation (NDCG/MRR/MAP). based in Ahmedabad, Gujarat. recruiter response rate 0.82, notice period 45d, last active 79d ago. Semantic JD match 0.53."
CAND_0007009,28,0.6359,"Rank 28: Recommendation Systems Engineer at Wysa (7.9 yrs exp, HealthTech AI). matches on embeddings/retrieval, vector DB / hybrid search, ranking evaluation (NDCG/MRR/MAP). based in Noida, Uttar Pradesh. recruiter response rate 0.62, notice period 30d, last active 100d ago. Semantic JD match 0.37."
CAND_0079387,29,0.6359,"Rank 29: AI Engineer at Microsoft (6.9 yrs exp, Software). matches on embeddings/retrieval, vector DB / hybrid search, ranking evaluation (NDCG/MRR/MAP). based in Trivandrum, Kerala. recruiter response rate 0.81, notice period 30d, last active 63d ago. Semantic JD match 0.46."
CAND_0054394,30,0.6356,"Rank 30: Recommendation Systems Engineer at PharmEasy (4.1 yrs exp, HealthTech). matches on embeddings/retrieval, vector DB / hybrid search, ranking evaluation (NDCG/MRR/MAP). based in Pune, Maharashtra. recruiter response rate 0.64, notice period 30d, last active 54d ago. Semantic JD match 0.41."
CAND_0030348,31,0.6337,"Rank 31: Machine Learning Engineer at BYJU'S (4.5 yrs exp, EdTech). matches on embeddings/retrieval, vector DB / hybrid search, ranking evaluation (NDCG/MRR/MAP). based in Noida, Uttar Pradesh. recruiter response rate 0.54, notice period 45d, last active 89d ago. Semantic JD match 0.43."
CAND_0042029,32,0.6337,"Rank 32: Senior Data Scientist at Flipkart (6.5 yrs exp, E-commerce). matches on embeddings/retrieval, vector DB / hybrid search, ranking evaluation (NDCG/MRR/MAP). based in Delhi, Delhi, open to relocation. recruiter response rate 0.67, notice period 45d, last active 75d ago. Semantic JD match 0.45."
CAND_0030031,33,0.6319,"Rank 33: AI Engineer at Microsoft (5.7 yrs exp, Software). matches on embeddings/retrieval, ranking evaluation (NDCG/MRR/MAP). based in Trivandrum, Kerala. recruiter response rate 0.94, notice period 30d, last active 36d ago. Semantic JD match 0.52."
CAND_0037980,34,0.6313,"Rank 34: Senior Applied Scientist at Niramai (9.0 yrs exp, HealthTech AI). matches on ranking evaluation (NDCG/MRR/MAP). based in Kolkata, West Bengal, open to relocation. recruiter response rate 0.63, notice period 0d, last active 91d ago. Semantic JD match 0.56."
CAND_0060072,35,0.6312,"Rank 35: Staff Machine Learning Engineer at Amazon (5.7 yrs exp, Internet). matches on embeddings/retrieval, vector DB / hybrid search, ranking evaluation (NDCG/MRR/MAP). based in Indore, Madhya Pradesh, open to relocation. recruiter response rate 0.10, notice period 90d, last active 154d ago. concerns: long notice period (90d). Semantic JD match 0.55."
CAND_0044222,36,0.631,"Rank 36: AI Engineer at PolicyBazaar (7.7 yrs exp, Insurance Tech). matches on embeddings/retrieval, vector DB / hybrid search, ranking evaluation (NDCG/MRR/MAP). based in Vizag, Andhra Pradesh. recruiter response rate 0.60, notice period 60d, last active 43d ago. Semantic JD match 0.51."
CAND_0079284,37,0.631,"Rank 37: Machine Learning Engineer at Google (4.9 yrs exp, Internet). matches on embeddings/retrieval, ranking evaluation (NDCG/MRR/MAP). based in Hyderabad, Telangana. recruiter response rate 0.79, notice period 30d, last active 77d ago. Semantic JD match 0.45."
CAND_0018549,38,0.6308,"Rank 38: Recommendation Systems Engineer at Uber (6.8 yrs exp, Transportation). matches on embeddings/retrieval, ranking evaluation (NDCG/MRR/MAP). based in Coimbatore, Tamil Nadu, open to relocation. recruiter response rate 0.73, notice period 60d, last active 60d ago. Semantic JD match 0.53."
CAND_0062247,39,0.6294,"Rank 39: AI Engineer at Google (7.3 yrs exp, Internet). matches on embeddings/retrieval, vector DB / hybrid search. based in Kochi, Kerala, open to relocation. recruiter response rate 0.78, notice period 30d, last active 65d ago. Semantic JD match 0.48."
CAND_0099806,40,0.628,"Rank 40: AI Engineer at Mad Street Den (4.6 yrs exp, AI/ML). matches on embeddings/retrieval, ranking evaluation (NDCG/MRR/MAP). based in Bhubaneswar, Odisha, open to relocation. recruiter response rate 0.76, notice period 30d, last active 53d ago. Semantic JD match 0.50."
CAND_0027691,41,0.6275,"Rank 41: NLP Engineer at Haptik (6.5 yrs exp, Conversational AI). matches on embeddings/retrieval, vector DB / hybrid search, ranking evaluation (NDCG/MRR/MAP). based in Pune, Maharashtra. recruiter response rate 0.68, notice period 15d, last active 88d ago. Semantic JD match 0.34."
CAND_0041610,42,0.6259,"Rank 42: Recommendation Systems Engineer at Zoho (6.7 yrs exp, SaaS). matches on embeddings/retrieval, vector DB / hybrid search, ranking evaluation (NDCG/MRR/MAP). based in Indore, Madhya Pradesh, open to relocation. recruiter response rate 0.52, notice period 30d, last active 44d ago. Semantic JD match 0.42."
CAND_0026532,43,0.6253,"Rank 43: Recommendation Systems Engineer at Zomato (4.8 yrs exp, Food Delivery). matches on embeddings/retrieval, vector DB / hybrid search, ranking evaluation (NDCG/MRR/MAP). based in Chennai, Tamil Nadu, open to relocation. recruiter response rate 0.52, notice period 90d, last active 91d ago. concerns: long notice period (90d). Semantic JD match 0.54."
CAND_0005649,44,0.6248,"Rank 44: Senior Data Scientist at Sarvam AI (7.4 yrs exp, AI/ML). matches on embeddings/retrieval, vector DB / hybrid search, ranking evaluation (NDCG/MRR/MAP). based in Delhi, Delhi, open to relocation. recruiter response rate 0.57, notice period 90d, last active 74d ago. concerns: long notice period (90d). Semantic JD match 0.47."
CAND_0017960,45,0.6245,"Rank 45: Recommendation Systems Engineer at Nykaa (7.7 yrs exp, E-commerce). matches on embeddings/retrieval, vector DB / hybrid search, ranking evaluation (NDCG/MRR/MAP). based in Bangalore, Karnataka, open to relocation. recruiter response rate 0.72, notice period 60d, last active 61d ago. Semantic JD match 0.42."
CAND_0093193,46,0.6224,"Rank 46: Senior Machine Learning Engineer at Niramai (7.9 yrs exp, HealthTech AI). weak direct overlap with the core retrieval/ranking stack. based in Bangalore, Karnataka. recruiter response rate 0.61, notice period 45d, last active 70d ago. Semantic JD match 0.60."
CAND_0086151,47,0.6223,"Rank 47: Recommendation Systems Engineer at Wysa (7.7 yrs exp, HealthTech AI). matches on embeddings/retrieval, vector DB / hybrid search, ranking evaluation (NDCG/MRR/MAP). based in Vizag, Andhra Pradesh, open to relocation. recruiter response rate 0.52, notice period 120d, last active 96d ago. concerns: long notice period (120d). Semantic JD match 0.56."
CAND_0053695,48,0.6217,"Rank 48: Recommendation Systems Engineer at Meesho (5.8 yrs exp, E-commerce). matches on embeddings/retrieval, vector DB / hybrid search, ranking evaluation (NDCG/MRR/MAP). based in Bhubaneswar, Odisha. recruiter response rate 0.60, notice period 15d, last active 86d ago. Semantic JD match 0.45."
CAND_0087364,49,0.6217,"Rank 49: Recommendation Systems Engineer at Glance (4.9 yrs exp, AI/ML). matches on ranking evaluation (NDCG/MRR/MAP). based in Gurgaon, Haryana. recruiter response rate 0.48, notice period 30d, last active 58d ago. Semantic JD match 0.50."
CAND_0030468,50,0.6194,"Rank 50: Senior Applied Scientist at Swiggy (5.4 yrs exp, Food Delivery). matches on ranking evaluation (NDCG/MRR/MAP). based in Indore, Madhya Pradesh, open to relocation. recruiter response rate 0.78, notice period 45d, last active 55d ago. Semantic JD match 0.57."
CAND_0064326,51,0.6163,"Rank 51: Search Engineer at Sarvam AI (7.6 yrs exp, AI/ML). matches on embeddings/retrieval, vector DB / hybrid search, ranking evaluation (NDCG/MRR/MAP). based in Gurgaon, Haryana. recruiter response rate 0.94, notice period 45d, last active 37d ago. Semantic JD match 0.40."
CAND_0030953,52,0.6159,"Rank 52: Search Engineer at Nykaa (7.8 yrs exp, E-commerce). matches on embeddings/retrieval, vector DB / hybrid search, ranking evaluation (NDCG/MRR/MAP). based in Chennai, Tamil Nadu. recruiter response rate 0.63, notice period 45d, last active 77d ago. Semantic JD match 0.48."
CAND_0044855,53,0.6135,"Rank 53: Senior Data Scientist at Flipkart (6.6 yrs exp, E-commerce). matches on embeddings/retrieval, vector DB / hybrid search, ranking evaluation (NDCG/MRR/MAP). based in Coimbatore, Tamil Nadu, open to relocation. recruiter response rate 0.57, notice period 60d, last active 64d ago. Semantic JD match 0.44."
CAND_0064904,54,0.6061,"Rank 54: AI Engineer at LinkedIn (4.9 yrs exp, Internet). matches on embeddings/retrieval, ranking evaluation (NDCG/MRR/MAP). based in Hyderabad, Telangana. recruiter response rate 0.78, notice period 90d, last active 102d ago. concerns: long notice period (90d). Semantic JD match 0.51."
CAND_0075574,55,0.6055,"Rank 55: Machine Learning Engineer at Haptik (5.7 yrs exp, Conversational AI). matches on embeddings/retrieval, vector DB / hybrid search, ranking evaluation (NDCG/MRR/MAP). based in Bangalore, Karnataka, open to relocation. recruiter response rate 0.58, notice period 60d, last active 41d ago. Semantic JD match 0.39."
CAND_0037000,56,0.6025,"Rank 56: Search Engineer at Unacademy (2.7 yrs exp, EdTech). matches on embeddings/retrieval, vector DB / hybrid search, ranking evaluation (NDCG/MRR/MAP). based in Noida, Uttar Pradesh. recruiter response rate 0.61, notice period 15d, last active 42d ago. Semantic JD match 0.43."
CAND_0000031,57,0.6022,"Rank 57: Recommendation Systems Engineer at Swiggy (6.0 yrs exp, Food Delivery). matches on embeddings/retrieval, ranking evaluation (NDCG/MRR/MAP). based in Hyderabad, Telangana, open to relocation. recruiter response rate 0.91, notice period 60d, last active 34d ago. Semantic JD match 0.44."
CAND_0011162,58,0.601,"Rank 58: Recommendation Systems Engineer at upGrad (5.8 yrs exp, EdTech). matches on embeddings/retrieval, ranking evaluation (NDCG/MRR/MAP). based in Coimbatore, Tamil Nadu, open to relocation. recruiter response rate 0.75, notice period 90d, last active 48d ago. concerns: long notice period (90d). Semantic JD match 0.52."
CAND_0057563,59,0.5997,"Rank 59: NLP Engineer at Locobuzz (6.8 yrs exp, AI/ML). matches on embeddings/retrieval, vector DB / hybrid search, ranking evaluation (NDCG/MRR/MAP). based in Indore, Madhya Pradesh, open to relocation. recruiter response rate 0.83, notice period 60d, last active 67d ago. Semantic JD match 0.41."
CAND_0037944,60,0.5989,"Rank 60: Senior Data Scientist at Vedantu (4.9 yrs exp, EdTech). matches on embeddings/retrieval, vector DB / hybrid search, ranking evaluation (NDCG/MRR/MAP). based in Jaipur, Rajasthan. recruiter response rate 0.42, notice period 30d, last active 97d ago. Semantic JD match 0.42."
CAND_0087630,61,0.5933,"Rank 61: AI Engineer at Vedantu (7.2 yrs exp, EdTech). matches on embeddings/retrieval, ranking evaluation (NDCG/MRR/MAP). based in Gurgaon, Haryana, open to relocation. recruiter response rate 0.45, notice period 30d, last active 103d ago. Semantic JD match 0.39."
CAND_0091909,62,0.5932,"Rank 62: Machine Learning Engineer at Rephrase.ai (6.9 yrs exp, AI/ML). matches on embeddings/retrieval, ranking evaluation (NDCG/MRR/MAP). based in Bangalore, Karnataka, open to relocation. recruiter response rate 0.65, notice period 45d, last active 101d ago. Semantic JD match 0.43."
CAND_0075439,63,0.5921,"Rank 63: Machine Learning Engineer at Flipkart (4.3 yrs exp, E-commerce). matches on embeddings/retrieval, vector DB / hybrid search, ranking evaluation (NDCG/MRR/MAP). based in Vizag, Andhra Pradesh. recruiter response rate 0.56, notice period 30d, last active 51d ago. Semantic JD match 0.42."
CAND_0037566,64,0.5883,"Rank 64: Machine Learning Engineer at LinkedIn (6.9 yrs exp, Internet). matches on embeddings/retrieval, vector DB / hybrid search, ranking evaluation (NDCG/MRR/MAP). based in Bangalore, Karnataka, open to relocation. recruiter response rate 0.50, notice period 15d, last active 68d ago. Semantic JD match 0.30."
CAND_0053591,65,0.588,"Rank 65: AI Engineer at Ola (5.3 yrs exp, Transportation). matches on embeddings/retrieval, vector DB / hybrid search, ranking evaluation (NDCG/MRR/MAP). based outside India (Toronto) — visa sponsorship is a concern per JD. recruiter response rate 0.81, notice period 60d, last active 41d ago. Semantic JD match 0.48."
CAND_0077285,66,0.5813,"Rank 66: Recommendation Systems Engineer at Nykaa (5.5 yrs exp, E-commerce). matches on embeddings/retrieval, vector DB / hybrid search, ranking evaluation (NDCG/MRR/MAP). based in Ahmedabad, Gujarat. recruiter response rate 0.56, notice period 60d, last active 55d ago. Semantic JD match 0.42."
CAND_0039383,67,0.578,"Rank 67: Applied ML Engineer at Meesho (7.1 yrs exp, E-commerce). matches on embeddings/retrieval, vector DB / hybrid search, ranking evaluation (NDCG/MRR/MAP). based in Gurgaon, Haryana, open to relocation. recruiter response rate 0.61, notice period 90d, last active 100d ago. concerns: long notice period (90d). Semantic JD match 0.38."
CAND_0010257,68,0.5776,"Rank 68: Senior Data Scientist at Google (6.5 yrs exp, Internet). matches on embeddings/retrieval, ranking evaluation (NDCG/MRR/MAP). based in Noida, Uttar Pradesh, open to relocation. recruiter response rate 0.72, notice period 120d, last active 45d ago. concerns: long notice period (120d). Semantic JD match 0.42."
CAND_0061265,69,0.5776,"Rank 69: Recommendation Systems Engineer at Zoho (6.6 yrs exp, SaaS). matches on embeddings/retrieval, vector DB / hybrid search. based in Delhi, Delhi. recruiter response rate 0.94, notice period 120d, last active 94d ago. concerns: long notice period (120d). Semantic JD match 0.48."
CAND_0081053,70,0.5775,"Rank 70: NLP Engineer at Glance (5.4 yrs exp, AI/ML). matches on embeddings/retrieval, vector DB / hybrid search, ranking evaluation (NDCG/MRR/MAP). based in Chandigarh, Chandigarh, open to relocation. recruiter response rate 0.83, notice period 90d, last active 88d ago. concerns: long notice period (90d). Semantic JD match 0.41."
CAND_0069905,71,0.5757,"Rank 71: Applied ML Engineer at Sarvam AI (6.6 yrs exp, AI/ML). matches on embeddings/retrieval, vector DB / hybrid search, ranking evaluation (NDCG/MRR/MAP). based in Bhubaneswar, Odisha, open to relocation. recruiter response rate 0.78, notice period 90d, last active 67d ago. concerns: long notice period (90d). Semantic JD match 0.41."
CAND_0065195,72,0.5748,"Rank 72: Search Engineer at CRED (5.1 yrs exp, Fintech). matches on embeddings/retrieval, vector DB / hybrid search, ranking evaluation (NDCG/MRR/MAP). based in Kolkata, West Bengal. recruiter response rate 0.80, notice period 45d, last active 34d ago. Semantic JD match 0.39."
CAND_0009024,73,0.5734,"Rank 73: Search Engineer at Google (5.2 yrs exp, Internet). matches on embeddings/retrieval, ranking evaluation (NDCG/MRR/MAP). based in Chennai, Tamil Nadu. recruiter response rate 0.46, notice period 30d, last active 79d ago. Semantic JD match 0.41."
CAND_0051004,74,0.571,"Rank 74: Senior Data Scientist at CRED (4.7 yrs exp, Fintech). matches on embeddings/retrieval, vector DB / hybrid search, ranking evaluation (NDCG/MRR/MAP). based in Delhi, Delhi, open to relocation. recruiter response rate 0.41, notice period 15d, last active 53d ago. Semantic JD match 0.29."
CAND_0081852,75,0.5704,"Rank 75: Senior Data Scientist at Mad Street Den (5.9 yrs exp, AI/ML). matches on embeddings/retrieval, vector DB / hybrid search, ranking evaluation (NDCG/MRR/MAP). based in Delhi, Delhi, open to relocation. recruiter response rate 0.44, notice period 45d, last active 35d ago. Semantic JD match 0.32."
CAND_0061655,76,0.5696,"Rank 76: Machine Learning Engineer at Krutrim (4.6 yrs exp, AI/ML). matches on embeddings/retrieval, ranking evaluation (NDCG/MRR/MAP). based in Jaipur, Rajasthan. recruiter response rate 0.88, notice period 15d, last active 37d ago. Semantic JD match 0.41."
CAND_0031593,77,0.5695,"Rank 77: Search Engineer at Genpact AI (7.8 yrs exp, AI Services). matches on embeddings/retrieval, vector DB / hybrid search, ranking evaluation (NDCG/MRR/MAP). based in Kolkata, West Bengal, open to relocation. recruiter response rate 0.58, notice period 90d, last active 100d ago. concerns: long notice period (90d). Semantic JD match 0.41."
CAND_0040887,78,0.5671,"Rank 78: Machine Learning Engineer at Netflix (4.7 yrs exp, Media). matches on embeddings/retrieval, vector DB / hybrid search, ranking evaluation (NDCG/MRR/MAP). based outside India (Toronto) — visa sponsorship is a concern per JD. recruiter response rate 0.84, notice period 15d, last active 34d ago. Semantic JD match 0.41."
CAND_0057701,79,0.5662,"Rank 79: Recommendation Systems Engineer at Verloop.io (4.1 yrs exp, Conversational AI). matches on embeddings/retrieval, vector DB / hybrid search, ranking evaluation (NDCG/MRR/MAP). based in Chandigarh, Chandigarh. recruiter response rate 0.56, notice period 120d, last active 48d ago. concerns: long notice period (120d). Semantic JD match 0.51."
CAND_0052682,80,0.5655,"Rank 80: NLP Engineer at Aganitha (6.6 yrs exp, AI/ML). matches on embeddings/retrieval, vector DB / hybrid search, ranking evaluation (NDCG/MRR/MAP). based in Vizag, Andhra Pradesh. recruiter response rate 0.88, notice period 30d, last active 91d ago. Semantic JD match 0.32."
CAND_0079064,81,0.5647,"Rank 81: Senior Data Scientist at Niramai (5.2 yrs exp, HealthTech AI). matches on embeddings/retrieval, vector DB / hybrid search, ranking evaluation (NDCG/MRR/MAP). based in Noida, Uttar Pradesh. recruiter response rate 0.91, notice period 120d, last active 75d ago. concerns: long notice period (120d). Semantic JD match 0.33."
CAND_0015528,82,0.5646,"Rank 82: Applied ML Engineer at Krutrim (7.4 yrs exp, AI/ML). matches on embeddings/retrieval, ranking evaluation (NDCG/MRR/MAP). based in Coimbatore, Tamil Nadu. recruiter response rate 0.53, notice period 30d, last active 72d ago. Semantic JD match 0.39."
CAND_0078492,83,0.564,"Rank 83: Recommendation Systems Engineer at Verloop.io (5.1 yrs exp, Conversational AI). matches on embeddings/retrieval, vector DB / hybrid search. based in Kochi, Kerala, open to relocation. recruiter response rate 0.70, notice period 30d, last active 87d ago. Semantic JD match 0.35."
CAND_0076831,84,0.5639,"Rank 84: Search Engineer at Krutrim (4.0 yrs exp, AI/ML). matches on embeddings/retrieval, vector DB / hybrid search, ranking evaluation (NDCG/MRR/MAP). based in Delhi, Delhi, open to relocation. recruiter response rate 0.50, notice period 90d, last active 44d ago. concerns: long notice period (90d). Semantic JD match 0.41."
CAND_0081686,85,0.5629,"Rank 85: Search Engineer at Netflix (6.0 yrs exp, Media). matches on embeddings/retrieval, vector DB / hybrid search, ranking evaluation (NDCG/MRR/MAP). based outside India (Austin) — visa sponsorship is a concern per JD. recruiter response rate 0.91, notice period 60d, last active 63d ago. Semantic JD match 0.44."
CAND_0096142,86,0.5624,"Rank 86: Applied ML Engineer at upGrad (5.0 yrs exp, EdTech). matches on embeddings/retrieval, ranking evaluation (NDCG/MRR/MAP). based in Hyderabad, Telangana. recruiter response rate 0.84, notice period 120d, last active 37d ago. concerns: long notice period (120d). Semantic JD match 0.44."
CAND_0096172,87,0.562,"Rank 87: NLP Engineer at Krutrim (5.2 yrs exp, AI/ML). matches on embeddings/retrieval, vector DB / hybrid search, ranking evaluation (NDCG/MRR/MAP). based in Chennai, Tamil Nadu. recruiter response rate 0.47, notice period 45d, last active 55d ago. Semantic JD match 0.38."
CAND_0020877,88,0.5618,"Rank 88: Applied ML Engineer at CRED (5.1 yrs exp, Fintech). matches on embeddings/retrieval, vector DB / hybrid search, ranking evaluation (NDCG/MRR/MAP). based in Gurgaon, Haryana, open to relocation. recruiter response rate 0.66, notice period 60d, last active 85d ago. Semantic JD match 0.30."
CAND_0068932,89,0.5614,"Rank 89: ML Engineer at Krutrim (5.2 yrs exp, AI/ML). matches on Python. based in Noida, Uttar Pradesh, open to relocation. recruiter response rate 0.82, notice period 30d, last active 32d ago. Semantic JD match 0.33."
CAND_0093912,90,0.5605,"Rank 90: Senior Data Scientist at Razorpay (5.3 yrs exp, Fintech). matches on embeddings/retrieval, vector DB / hybrid search. based in Chandigarh, Chandigarh. recruiter response rate 0.66, notice period 30d, last active 47d ago. Semantic JD match 0.37."
